scene,radius,d,backend,frames,dice,fp_rate,fn_rate,fp_ratio,gv_ratio,infer_ms,pure_ms,peak_mb,predicted_pvv_folder
sponza,r60,8,spconv,146,0.987488,0.013011,0.020748,0.309750,0.456109,17.684,17.255,366.6,/var/tmp/atighedl_runs/final_all_inference/spconv_out/OACNNsInterleaved_final_infer_sponza_r60_dice_20260522-164316_synthetic_may19_r60_spconv_d8_b3_depth3_100ep-final_sponza_r60_spconv_d8_100ep_metrics_L78ovqv2/inference/0
sponza,r60,16,fvdb,146,0.965154,0.014341,0.062546,0.342519,0.482723,40.158,28.231,602.6,/var/tmp/atighedl_runs/final_all_inference/fvdb_out/OACNNsInterleaved_final_infer_sponza_r60_dice_20260522-165209_synthetic_may19_r60_fvdb_d16_b3_depth3_100ep-final_sponza_r60_fvdb_d16_100ep_metrics_4G7GKEBu/inference/0
sponza,r60,16,spconv,146,0.951820,0.011722,0.092995,0.279437,0.414933,18.721,18.306,467.1,/var/tmp/atighedl_runs/final_all_inference/spconv_out/OACNNsInterleaved_final_infer_sponza_r60_dice_20260522-170328_synthetic_may19_r60_spconv_d16_b3_depth3_100ep-final_sponza_r60_spconv_d16_100ep_metrics_OCMuD4e6/inference/0
sponza,r60,32,fvdb,146,0.932266,0.013519,0.133663,0.319794,0.449179,44.734,26.597,967.2,/var/tmp/atighedl_runs/final_all_inference/fvdb_out/OACNNsInterleaved_final_infer_sponza_r60_dice_20260522-171252_synthetic_may19_r60_fvdb_d32_b3_depth3_100ep-final_sponza_r60_fvdb_d32_100ep_metrics_1POdDLJv/inference/0
viking,r30,8,fvdb,818,0.962667,0.010233,0.080598,0.383524,0.583373,31.649,27.697,353.9,/var/tmp/atighedl_runs/final_all_inference/fvdb_out/OACNNsInterleaved_final_infer_viking_r30_dice_20260522-150545_synthetic_may19_r30_fvdb_d8_b3_depth3_100ep-final_viking_r30_fvdb_d8_100ep_metrics_BG8xPZvr/inference/0
viking,r30,8,spconv,818,0.955151,0.007250,0.090234,0.272539,0.470158,17.210,16.783,307.2,/var/tmp/atighedl_runs/final_all_inference/spconv_out/OACNNsInterleaved_final_infer_viking_r30_dice_20260522-152236_synthetic_may19_r30_spconv_d8_b3_depth3_100ep-final_viking_r30_spconv_d8_100ep_metrics_qRVB5p80/inference/0
viking,r30,16,fvdb,818,0.985019,0.012402,0.022040,0.463894,0.676660,34.475,27.513,462.2,/var/tmp/atighedl_runs/final_all_inference/fvdb_out/OACNNsInterleaved_final_infer_viking_r30_dice_20260522-153449_synthetic_may19_r30_fvdb_d16_b3_depth3_100ep-final_viking_r30_fvdb_d16_100ep_metrics_KAhJWcs8/inference/0
viking,r30,16,spconv,818,0.985044,0.012103,0.019854,0.449346,0.662563,17.774,17.361,383.0,/var/tmp/atighedl_runs/final_all_inference/spconv_out/OACNNsInterleaved_final_infer_viking_r30_dice_20260522-155137_synthetic_may19_r30_spconv_d16_b3_depth3_100ep-final_viking_r30_spconv_d16_100ep_metrics_58ORviC3/inference/0
viking,r30,32,fvdb,818,0.959966,0.010242,0.069260,0.388421,0.590817,37.287,25.445,806.5,/var/tmp/atighedl_runs/final_all_inference/fvdb_out/OACNNsInterleaved_final_infer_viking_r30_dice_20260522-160456_synthetic_may19_r30_fvdb_d32_b3_depth3_100ep-final_viking_r30_fvdb_d32_100ep_metrics_EF4Ugimi/inference/0
viking,r30,32,spconv,818,0.971524,0.010546,0.045508,0.396482,0.603960,23.375,22.925,668.9,/var/tmp/atighedl_runs/final_all_inference/spconv_out/OACNNsInterleaved_final_infer_viking_r30_dice_20260522-162339_synthetic_may19_r30_spconv_d32_b3_depth3_100ep-final_viking_r30_spconv_d32_100ep_metrics_JXQUMXMD/inference/0
viking,r60,8,fvdb,443,0.912127,0.006523,0.171332,0.244316,0.435625,31.334,27.959,353.5,/var/tmp/atighedl_runs/final_all_inference/fvdb_out/OACNNsInterleaved_final_infer_viking_r60_dice_20260522-163354_synthetic_may19_r60_fvdb_d8_b3_depth3_100ep-final_viking_r60_fvdb_d8_100ep_metrics_82nTbGZq/inference/0
viking,r60,8,spconv,443,0.961441,0.007708,0.081086,0.289281,0.501770,17.031,16.599,306.7,/var/tmp/atighedl_runs/final_all_inference/spconv_out/OACNNsInterleaved_final_infer_viking_r60_dice_20260522-164546_synthetic_may19_r60_spconv_d8_b3_depth3_100ep-final_viking_r60_spconv_d8_100ep_metrics_QZExI6is/inference/0
viking,r60,16,fvdb,443,0.962141,0.009011,0.077102,0.337596,0.551023,34.777,27.747,462.2,/var/tmp/atighedl_runs/final_all_inference/fvdb_out/OACNNsInterleaved_final_infer_viking_r60_dice_20260522-165335_synthetic_may19_r60_fvdb_d16_b3_depth3_100ep-final_viking_r60_fvdb_d16_100ep_metrics_JVLWHCr7/inference/0
viking,r60,16,spconv,443,0.968045,0.009083,0.064747,0.339507,0.555850,17.752,17.338,383.0,/var/tmp/atighedl_runs/final_all_inference/spconv_out/OACNNsInterleaved_final_infer_viking_r60_dice_20260522-170557_synthetic_may19_r60_spconv_d16_b3_depth3_100ep-final_viking_r60_spconv_d16_100ep_metrics_P6BvLknc/inference/0
viking,r60,32,fvdb,443,0.945889,0.008561,0.107742,0.323940,0.530017,37.163,25.357,804.7,/var/tmp/atighedl_runs/final_all_inference/fvdb_out/OACNNsInterleaved_final_infer_viking_r60_dice_20260522-171427_synthetic_may19_r60_fvdb_d32_b3_depth3_100ep-final_viking_r60_fvdb_d32_100ep_metrics_wouHvz50/inference/0
