frame,fvdb_per_percent,fvdb_ssim,fvdb_error_pixels,spconv_per_percent,spconv_ssim,spconv_error_pixels,per_delta_fvdb_minus_spconv,ssim_delta_fvdb_minus_spconv,combined_per_percent,max_per_percent
90,0.38700104,0.99203324,4058,0.14171600,0.99709443,1486,0.24528503,-0.00506119,0.26435852,0.38700104
91,0.37345886,0.99219525,3916,0.14486313,0.99708984,1519,0.22859573,-0.00489459,0.25916100,0.37345886
92,0.40044785,0.99190665,4199,0.14009476,0.99718416,1469,0.26035309,-0.00527751,0.27027130,0.40044785
93,0.41570663,0.99190864,4359,0.16231537,0.99698077,1702,0.25339127,-0.00507212,0.28901100,0.41570663
94,0.39577484,0.99220831,4150,0.14381409,0.99701881,1508,0.25196075,-0.00481050,0.26979446,0.39577484
95,0.45261383,0.98977326,4746,0.24557114,0.99141290,2575,0.20704269,-0.00163963,0.34909248,0.45261383
96,0.48065186,0.98915819,5040,0.26245117,0.99101104,2752,0.21820068,-0.00185285,0.37155151,0.48065186
97,0.49896240,0.98905259,5232,0.28476715,0.99061705,2986,0.21419525,-0.00156446,0.39186478,0.49896240
98,0.46386719,0.98942347,4864,0.25796890,0.99092547,2705,0.20589828,-0.00150200,0.36091805,0.46386719
99,0.47035217,0.98917731,4932,0.26836395,0.99051015,2814,0.20198822,-0.00133284,0.36935806,0.47035217
100,0.43163300,0.99011768,4526,0.25224686,0.99113907,2645,0.17938614,-0.00102139,0.34193993,0.43163300
101,0.50001144,0.98880753,5243,0.31309128,0.98998653,3283,0.18692017,-0.00117900,0.40655136,0.50001144
102,0.47473907,0.98908234,4978,0.25873184,0.99105846,2713,0.21600723,-0.00197613,0.36673546,0.47473907
103,0.37183762,0.99257004,3899,0.23813248,0.99215354,2497,0.13370514,0.00041650,0.30498505,0.37183762
104,0.39186478,0.99210587,4109,0.22535324,0.99241799,2363,0.16651154,-0.00031212,0.30860901,0.39186478
105,0.41599274,0.99208868,4362,0.27666092,0.99111071,2901,0.13933182,0.00097797,0.34632683,0.41599274
106,0.36277771,0.99270206,3804,0.23670197,0.99160323,2482,0.12607574,0.00109883,0.29973984,0.36277771
107,0.39310455,0.99212147,4122,0.24442673,0.99082749,2563,0.14867783,0.00129399,0.31876564,0.39310455
108,0.40616989,0.99198801,4259,0.24509430,0.99141354,2570,0.16107559,0.00057447,0.32563210,0.40616989
109,0.42867661,0.99176606,4495,0.28095245,0.99056143,2946,0.14772415,0.00120463,0.35481453,0.42867661
110,0.40779114,0.99221757,4276,0.24805069,0.99144599,2601,0.15974045,0.00077158,0.32792091,0.40779114
111,0.30107498,0.99301911,3157,0.08506775,0.99899903,892,0.21600723,-0.00597993,0.19307137,0.30107498
