frame,fvdb_per_percent,fvdb_ssim,fvdb_error_pixels,spconv_per_percent,spconv_ssim,spconv_error_pixels,per_delta_fvdb_minus_spconv,ssim_delta_fvdb_minus_spconv,combined_per_percent,max_per_percent
66,0.84190369,0.99327499,8828,0.43201447,0.99391265,4530,0.40988922,-0.00063767,0.63695908,0.84190369
67,0.84142685,0.99314740,8823,0.41303635,0.99387100,4331,0.42839050,-0.00072360,0.62723160,0.84142685
68,0.82597733,0.99355135,8661,0.40092468,0.99413714,4204,0.42505264,-0.00058580,0.61345100,0.82597733
69,0.99411011,0.99082290,10424,0.40464401,0.99360297,4243,0.58946609,-0.00278006,0.69937706,0.99411011
70,0.99630356,0.99068611,10447,0.40197372,0.99352923,4215,0.59432983,-0.00284312,0.69913864,0.99630356
71,0.97541809,0.99122662,10228,0.40664673,0.99321876,4264,0.56877136,-0.00199214,0.69103241,0.97541809
72,0.97646713,0.99148960,10239,0.43535233,0.99274245,4565,0.54111481,-0.00125285,0.70590973,0.97646713
73,0.95653534,0.99119068,10030,0.43716431,0.99279248,4584,0.51937103,-0.00160180,0.69684982,0.95653534
74,1.01671219,0.98972030,10661,0.47187805,0.99217135,4948,0.54483414,-0.00245105,0.74429512,1.01671219
75,1.08251572,0.98865277,11351,0.49371719,0.99171358,5177,0.58879852,-0.00306081,0.78811646,1.08251572
76,1.30567551,0.98430405,13691,0.46291351,0.99222371,4854,0.84276199,-0.00791966,0.88429451,1.30567551
77,1.35307312,0.98316160,14188,0.47922134,0.99221847,5025,0.87385178,-0.00905686,0.91614723,1.35307312
78,1.36671066,0.98291820,14331,0.48761368,0.99214901,5113,0.87909698,-0.00923082,0.92716217,1.36671066
79,1.37271881,0.98321574,14394,0.50277710,0.99226306,5272,0.86994171,-0.00904732,0.93774796,1.37271881
80,1.37205124,0.98319619,14387,0.51193237,0.99222904,5368,0.86011887,-0.00903285,0.94199181,1.37205124
81,1.40075684,0.98303331,14688,0.52080154,0.99236484,5461,0.87995529,-0.00933154,0.96077919,1.40075684
82,1.37605667,0.98367491,14429,0.50458908,0.99281383,5291,0.87146759,-0.00913892,0.94032288,1.37605667
83,1.40981674,0.98314909,14783,0.61073303,0.99262764,6404,0.79908371,-0.00947855,1.01027489,1.40981674
84,1.38692856,0.98370151,14543,0.61740875,0.99294519,6474,0.76951981,-0.00924368,1.00216866,1.38692856
85,1.39322281,0.98388627,14609,0.62131882,0.99310234,6515,0.77190399,-0.00921607,1.00727081,1.39322281
86,1.38692856,0.98410279,14543,0.61149597,0.99334923,6412,0.77543259,-0.00924644,0.99921227,1.38692856
87,1.39617920,0.98398129,14640,0.62313080,0.99335802,6534,0.77304840,-0.00937673,1.00965500,1.39617920
88,1.39369965,0.98404359,14614,0.65021515,0.99292746,6818,0.74348450,-0.00888388,1.02195740,1.39369965
89,1.37109756,0.98447986,14377,0.69084167,0.99238604,7244,0.68025589,-0.00790618,1.03096962,1.37109756
90,1.63583755,0.98127693,17153,0.73585510,0.99238559,7716,0.89998245,-0.01110866,1.18584633,1.63583755
91,1.66015625,0.98105273,17408,0.77371597,0.99162019,8113,0.88644028,-0.01056746,1.21693611,1.66015625
92,1.69286728,0.98049535,17751,0.82588196,0.99047476,8660,0.86698532,-0.00997941,1.25937462,1.69286728
93,1.71089172,0.98056654,17940,0.85067749,0.99052655,8920,0.86021423,-0.00996001,1.28078461,1.71089172
94,1.76725388,0.97960427,18531,0.88005066,0.98950450,9228,0.88720322,-0.00990023,1.32365227,1.76725388
95,1.78098679,0.97986805,18675,0.90913773,0.98952012,9533,0.87184906,-0.00965207,1.34506226,1.78098679
96,1.84068680,0.97905811,19301,0.94947815,0.98859905,9956,0.89120865,-0.00954094,1.39508247,1.84068680
97,2.29558945,0.97000141,24071,0.71506500,0.99256120,7498,1.58052444,-0.02255978,1.50532722,2.29558945
98,2.30436325,0.97015817,24163,0.74586868,0.99207472,7821,1.55849457,-0.02191655,1.52511597,2.30436325
99,2.34012604,0.97002917,24538,0.75836182,0.99205389,7952,1.58176422,-0.02202472,1.54924393,2.34012604
100,2.35137939,0.97002678,24656,0.76532364,0.99194184,8025,1.58605576,-0.02191506,1.55835152,2.35137939
101,2.33736038,0.97030952,24509,0.77152252,0.99162018,8090,1.56583786,-0.02131066,1.55444145,2.33736038
102,2.33287811,0.97060559,24462,0.80041885,0.99133137,8393,1.53245926,-0.02072578,1.56664848,2.33287811
103,2.29797363,0.97109695,24096,0.77676773,0.99155408,8145,1.52120590,-0.02045713,1.53737068,2.29797363
104,2.05631256,0.96979982,21562,0.55875778,0.99574950,5859,1.49755478,-0.02594968,1.30753517,2.05631256
105,2.07862854,0.97007208,21796,0.58574677,0.99562342,6142,1.49288177,-0.02555134,1.33218765,2.07862854
106,2.09026337,0.97067891,21918,0.57868958,0.99560225,6068,1.51157379,-0.02492333,1.33447647,2.09026337
107,2.06632614,0.97159592,21667,0.57573318,0.99561965,6037,1.49059296,-0.02402374,1.32102966,2.06632614
108,2.06336975,0.97217678,21636,0.59137344,0.99568130,6201,1.47199631,-0.02350452,1.32737160,2.06336975
109,2.12192535,0.97205189,22250,0.63171387,0.99512949,6624,1.49021149,-0.02307760,1.37681961,2.12192535
110,2.11753845,0.97254433,22204,0.65441132,0.99465876,6862,1.46312714,-0.02211443,1.38597488,2.11753845
111,1.23481750,0.98701092,12948,0.56810379,0.99574755,5957,0.66671371,-0.00873662,0.90146065,1.23481750
112,1.21421814,0.98752802,12732,0.61340332,0.99457121,6432,0.60081482,-0.00704318,0.91381073,1.21421814
113,1.22776031,0.98761506,12874,0.68988800,0.99334056,7234,0.53787231,-0.00572550,0.95882416,1.22776031
114,1.22776031,0.98791957,12874,0.70629120,0.99285743,7406,0.52146912,-0.00493786,0.96702576,1.22776031
115,1.24750137,0.98808324,13081,0.72050095,0.99324078,7555,0.52700043,-0.00515754,0.98400116,1.24750137
116,1.24263763,0.98835932,13030,0.73003769,0.99341901,7655,0.51259995,-0.00505968,0.98633766,1.24263763
117,1.24454498,0.98844178,13050,0.72841644,0.99321497,7638,0.51612854,-0.00477319,0.98648071,1.24454498
118,0.86746216,0.99250453,9096,0.76198578,0.99342037,7990,0.10547638,-0.00091584,0.81472397,0.86746216
119,0.88376999,0.99235061,9267,0.75740814,0.99396068,7942,0.12636185,-0.00161007,0.82058907,0.88376999
120,0.91018677,0.99204532,9544,0.76284409,0.99426029,7999,0.14734268,-0.00221497,0.83651543,0.91018677
121,0.94718933,0.99180194,9932,0.77810287,0.99429627,8159,0.16908646,-0.00249433,0.86264610,0.94718933
122,0.91400146,0.99198436,9584,0.78506470,0.99423726,8232,0.12893677,-0.00225290,0.84953308,0.91400146
123,0.93641281,0.99176317,9819,0.78868866,0.99421471,8270,0.14772415,-0.00245155,0.86255074,0.93641281
124,0.96721649,0.99149703,10142,0.85105896,0.99368599,8924,0.11615753,-0.00218896,0.90913773,0.96721649
125,1.01861954,0.98999869,10681,0.84638596,0.99356151,8875,0.17223358,-0.00356282,0.93250275,1.01861954
126,1.03702545,0.98952392,10874,0.88329315,0.99281140,9262,0.15373230,-0.00328747,0.96015930,1.03702545
127,1.07660294,0.98865980,11289,0.97322464,0.99112173,10205,0.10337830,-0.00246193,1.02491379,1.07660294
128,1.18370056,0.98668946,12412,1.08900070,0.98842974,11419,0.09469986,-0.00174028,1.13635063,1.18370056
129,1.35421753,0.98411960,14200,1.31492615,0.98452955,13788,0.03929138,-0.00040995,1.33457184,1.35421753
130,1.59339905,0.98005432,16708,1.55858994,0.97964382,16343,0.03480911,0.00041050,1.57599449,1.59339905
131,1.86653137,0.97514312,19572,1.81694031,0.97455358,19052,0.04959106,0.00058954,1.84173584,1.86653137
132,1.69019699,0.98091674,17723,1.73406601,0.97403632,18183,-0.04386902,0.00688042,1.71213150,1.73406601
133,1.70631409,0.98079882,17892,2.06680298,0.96758672,21672,-0.36048889,0.01321211,1.88655853,2.06680298
134,1.74980164,0.98083820,18348,2.44531631,0.96076986,25641,-0.69551468,0.02006833,2.09755898,2.44531631
135,1.81283951,0.98050539,19009,2.78625488,0.95484255,29216,-0.97341537,0.02566284,2.29954720,2.78625488
136,1.99174881,0.97849719,20885,3.32660675,0.94792154,34882,-1.33485794,0.03057565,2.65917778,3.32660675
137,2.26640701,0.97529447,23765,3.63483429,0.94155078,38114,-1.36842728,0.03374368,2.95062065,3.63483429
138,2.54631042,0.97229321,26700,3.83996964,0.93487534,40265,-1.29365921,0.03741787,3.19314003,3.83996964
139,1.19924545,0.98646487,12575,2.36597061,0.97065360,24809,-1.16672516,0.01581127,1.78260803,2.36597061
140,1.22661591,0.98607270,12862,2.40373611,0.97068319,25205,-1.17712021,0.01538951,1.81517601,2.40373611
141,1.26590729,0.98589420,13274,2.42557526,0.97073049,25434,-1.15966797,0.01516372,1.84574127,2.42557526
142,1.25341415,0.98598344,13143,2.47640610,0.97053144,25967,-1.22299194,0.01545200,1.86491013,2.47640610
143,1.27716064,0.98567586,13392,2.47173309,0.97109576,25918,-1.19457245,0.01458010,1.87444687,2.47173309
144,1.30939484,0.98514454,13730,2.44731903,0.97144323,25662,-1.13792419,0.01370131,1.87835693,2.44731903
145,1.31998062,0.98508383,13841,2.48775482,0.97107705,26086,-1.16777420,0.01400677,1.90386772,2.48775482
146,1.13725662,0.99100432,11925,3.68204117,0.95207374,38609,-2.54478455,0.03893058,2.40964890,3.68204117
147,1.20706558,0.99040011,12657,3.66401672,0.95250062,38420,-2.45695114,0.03789950,2.43554115,3.66401672
148,1.22423172,0.99024936,12837,3.71913910,0.95098279,38998,-2.49490738,0.03926657,2.47168541,3.71913910
149,1.19009018,0.99072779,12479,3.71417999,0.95027242,38946,-2.52408981,0.04045536,2.45213509,3.71417999
150,1.22375488,0.99059008,12832,3.77092361,0.94926328,39541,-2.54716873,0.04132681,2.49733925,3.77092361
151,1.23043060,0.99035370,12902,3.78084183,0.94918949,39645,-2.55041122,0.04116422,2.50563622,3.78084183
152,0.86250305,0.99237054,9044,1.54047012,0.98387954,16153,-0.67796707,0.00849100,1.20148659,1.54047012
153,0.90494156,0.99186581,9489,1.53951645,0.98400016,16143,-0.63457489,0.00786564,1.22222900,1.53951645
154,0.87356567,0.99197916,9160,1.38959885,0.98489422,14571,-0.51603317,0.00708494,1.13158226,1.38959885
155,0.86793900,0.99211599,9101,1.44290924,0.98452454,15130,-0.57497025,0.00759145,1.15542412,1.44290924
156,0.88834763,0.99175605,9315,1.38311386,0.98518184,14503,-0.49476624,0.00657421,1.13573074,1.38311386
157,0.91257095,0.99159000,9569,1.36585236,0.98525940,14322,-0.45328140,0.00633060,1.13921165,1.36585236
158,0.81129074,0.99393245,8507,2.38218307,0.97779460,24979,-1.57089233,0.01613784,1.59673691,2.38218307
159,0.82817078,0.99380376,8684,2.25791931,0.97905857,23676,-1.42974854,0.01474519,1.54304504,2.25791931
160,0.82712173,0.99376764,8673,2.15768814,0.98035921,22625,-1.33056641,0.01340843,1.49240494,2.15768814
161,0.83541870,0.99380320,8760,2.03018188,0.98189601,21288,-1.19476318,0.01190719,1.43280029,2.03018188
162,0.82607269,0.99372182,8662,1.88179016,0.98364063,19732,-1.05571747,0.01008118,1.35393143,1.88179016
163,0.85382462,0.99371812,8953,1.71070099,0.98553153,17938,-0.85687637,0.00818659,1.28226280,1.71070099
164,0.49343109,0.99765531,5174,1.97362900,0.98396366,20695,-1.48019791,0.01369166,1.23353004,1.97362900
165,0.50678253,0.99753578,5314,1.67207718,0.98689816,17533,-1.16529465,0.01063763,1.08942986,1.67207718
166,0.51202774,0.99762056,5369,1.40628815,0.98975074,14746,-0.89426041,0.00786982,0.95915794,1.40628815
167,0.51841736,0.99750785,5436,1.19543076,0.99175459,12535,-0.67701340,0.00575326,0.85692406,1.19543076
168,0.53176880,0.99754074,5576,1.05390549,0.99363354,11051,-0.52213669,0.00390720,0.79283714,1.05390549
169,0.51946640,0.99769647,5447,0.91323853,0.99508487,9576,-0.39377213,0.00261160,0.71635246,0.91323853
170,0.51774979,0.99822015,5429,0.84199905,0.99553176,8829,-0.32424927,0.00268839,0.67987442,0.84199905
171,0.52165985,0.99833462,5470,0.69952011,0.99684158,7335,-0.17786026,0.00149304,0.61058998,0.69952011
172,0.50563812,0.99848832,5302,0.59671402,0.99714889,6257,-0.09107590,0.00133943,0.55117607,0.59671402
173,0.49371719,0.99848245,5177,0.57458878,0.99699372,6025,-0.08087158,0.00148873,0.53415298,0.57458878
174,0.50182343,0.99852761,5262,0.58631897,0.99696591,6148,-0.08449554,0.00156171,0.54407120,0.58631897
175,0.49781799,0.99855097,5220,0.57945251,0.99704604,6076,-0.08163452,0.00150493,0.53863525,0.57945251
176,0.36840439,0.99911960,3863,0.52804947,0.99780729,5537,-0.15964508,0.00131231,0.44822693,0.52804947
177,0.35629272,0.99912437,3736,0.50783157,0.99804055,5325,-0.15153885,0.00108382,0.43206215,0.50783157
178,0.36287308,0.99913275,3805,0.48799515,0.99823684,5117,-0.12512207,0.00089591,0.42543411,0.48799515
179,0.36449432,0.99912560,3822,0.46100616,0.99836681,4834,-0.09651184,0.00075879,0.41275024,0.46100616
180,0.36888123,0.99915253,3868,0.45900345,0.99839814,4813,-0.09012222,0.00075439,0.41394234,0.45900345
181,0.37584305,0.99909115,3941,0.44841766,0.99849834,4702,-0.07257462,0.00059280,0.41213036,0.44841766
182,0.41723251,0.99888162,4375,0.56104660,0.99663381,5883,-0.14381409,0.00224781,0.48913956,0.56104660
183,0.39815903,0.99894177,4175,0.55217743,0.99673928,5790,-0.15401840,0.00220249,0.47516823,0.55217743
184,0.37927628,0.99901864,3977,0.53758621,0.99722323,5637,-0.15830994,0.00179541,0.45843124,0.53758621
185,0.38957596,0.99901656,4085,0.53768158,0.99754874,5638,-0.14810562,0.00146781,0.46362877,0.53768158
186,0.39291382,0.99906254,4120,0.54340363,0.99765218,5698,-0.15048981,0.00141036,0.46815872,0.54340363
187,0.37670135,0.99912080,3950,0.51031113,0.99793633,5351,-0.13360977,0.00118447,0.44350624,0.51031113
188,0.46834946,0.99822815,4911,0.65460205,0.99603707,6864,-0.18625259,0.00219108,0.56147575,0.65460205
189,0.48122406,0.99816441,5046,0.65412521,0.99618709,6859,-0.17290115,0.00197731,0.56767464,0.65412521
190,0.46319962,0.99825323,4857,0.62799454,0.99639211,6585,-0.16479492,0.00186112,0.54559708,0.62799454
191,0.47035217,0.99832915,4932,0.63142776,0.99650235,6621,-0.16107559,0.00182680,0.55088997,0.63142776
192,0.46224594,0.99829837,4847,0.63619614,0.99641973,6671,-0.17395020,0.00187864,0.54922104,0.63619614
193,0.44670105,0.99834690,4684,0.60176849,0.99675558,6310,-0.15506744,0.00159132,0.52423477,0.60176849
194,0.50840378,0.99819727,5331,0.85763931,0.99411397,8993,-0.34923553,0.00408329,0.68302155,0.85763931
195,0.48084259,0.99832358,5042,0.81539154,0.99465994,8550,-0.33454895,0.00366365,0.64811707,0.81539154
196,0.50258636,0.99837917,5270,0.79927444,0.99510879,8381,-0.29668808,0.00327038,0.65093040,0.79927444
197,0.46901703,0.99850304,4918,0.74901581,0.99571013,7854,-0.27999878,0.00279292,0.60901642,0.74901581
198,0.44775009,0.99866822,4695,0.70838928,0.99623555,7428,-0.26063919,0.00243267,0.57806969,0.70838928
199,0.42762756,0.99866103,4484,0.69303513,0.99643604,7267,-0.26540756,0.00222499,0.56033134,0.69303513
200,1.06201172,0.99274451,11136,1.29919052,0.99016984,13623,-0.23717880,0.00257467,1.18060112,1.29919052
201,0.91705322,0.99513666,9616,1.39675140,0.99010283,14646,-0.47969818,0.00503382,1.15690231,1.39675140
202,0.83503723,0.99660621,8756,1.41506195,0.98980014,14838,-0.58002472,0.00680608,1.12504959,1.41506195
203,0.76913834,0.99842168,8065,1.37929916,0.98969509,14463,-0.61016083,0.00872659,1.07421875,1.37929916
204,0.70915222,0.99904090,7436,1.30147934,0.99101709,13647,-0.59232712,0.00802381,1.00531578,1.30147934
205,0.71306229,0.99898088,7477,1.16338730,0.99357038,12199,-0.45032501,0.00541050,0.93822479,1.16338730
206,0.35352707,0.99835954,3707,0.57296753,0.99619699,6008,-0.21944046,0.00216255,0.46324730,0.57296753
207,0.32529831,0.99852795,3411,0.47292709,0.99706791,4959,-0.14762878,0.00146003,0.39911270,0.47292709
208,0.31986237,0.99855690,3354,0.43821335,0.99704914,4595,-0.11835098,0.00150777,0.37903786,0.43821335
209,0.31147003,0.99845898,3266,0.38299561,0.99707318,4016,-0.07152557,0.00138580,0.34723282,0.38299561
210,0.27999878,0.99833168,2936,0.33330917,0.99709903,3495,-0.05331039,0.00123265,0.30665398,0.33330917
211,0.30374527,0.99822523,3185,0.35219193,0.99704819,3693,-0.04844666,0.00117705,0.32796860,0.35219193
212,0.50439835,0.99678449,5289,0.86574554,0.99147212,9078,-0.36134720,0.00531237,0.68507195,0.86574554
213,0.60396194,0.99640860,6333,0.99744797,0.99077647,10459,-0.39348602,0.00563213,0.80070496,0.99744797
214,0.71649551,0.99624918,7513,1.27391815,0.98983883,13358,-0.55742264,0.00641034,0.99520683,1.27391815
215,0.83007812,0.99515535,8704,1.34630203,0.98955807,14117,-0.51622391,0.00559729,1.08819008,1.34630203
216,0.99821091,0.99490420,10467,1.42765045,0.98927017,14970,-0.42943954,0.00563403,1.21293068,1.42765045
217,1.22518539,0.99304186,12847,1.79738998,0.98674337,18847,-0.57220459,0.00629849,1.51128769,1.79738998
218,0.46339035,0.99805734,4859,0.54664612,0.99734233,5732,-0.08325577,0.00071501,0.50501823,0.54664612
219,0.51012039,0.99817795,5349,0.59137344,0.99748373,6201,-0.08125305,0.00069422,0.55074692,0.59137344
220,0.57859421,0.99819669,6067,0.66566467,0.99746600,6980,-0.08707047,0.00073069,0.62212944,0.66566467
221,0.64983368,0.99821454,6814,0.73642731,0.99743814,7722,-0.08659363,0.00077640,0.69313049,0.73642731
222,0.78210831,0.99811096,8201,0.92964172,0.99710102,9748,-0.14753342,0.00100994,0.85587502,0.92964172
223,0.82340240,0.99807545,8634,1.14316940,0.99590382,11987,-0.31976700,0.00217163,0.98328590,1.14316940
224,0.90141296,0.99785391,9452,1.10197067,0.99652783,11555,-0.20055771,0.00132608,1.00169182,1.10197067
225,0.91743469,0.99785103,9620,1.12295151,0.99654680,11775,-0.20551682,0.00130423,1.02019310,1.12295151
226,0.90808868,0.99789558,9522,1.12771988,0.99649473,11825,-0.21963120,0.00140085,1.01790428,1.12771988
227,0.93908310,0.99783392,9847,1.15070343,0.99644269,12066,-0.21162033,0.00139123,1.04489326,1.15070343
228,0.94671249,0.99778432,9927,1.16481781,0.99643377,12214,-0.21810532,0.00135056,1.05576515,1.16481781
229,0.95119476,0.99772130,9974,1.17197037,0.99633066,12289,-0.22077560,0.00139064,1.06158257,1.17197037
230,0.84018707,0.99715338,8810,1.14774704,0.99597102,12035,-0.30755997,0.00118236,0.99396706,1.14774704
231,0.82950592,0.99727711,8698,1.14898682,0.99594654,12048,-0.31948090,0.00133056,0.98924637,1.14898682
232,0.83360672,0.99741310,8741,1.15785599,0.99591113,12141,-0.32424927,0.00150197,0.99573135,1.15785599
233,0.84152222,0.99745128,8824,1.15432739,0.99594747,12104,-0.31280518,0.00150381,0.99792480,1.15432739
234,0.82988739,0.99749142,8702,1.15995407,0.99583557,12163,-0.33006668,0.00165585,0.99492073,1.15995407
235,0.83065033,0.99755080,8710,1.16062164,0.99592922,12170,-0.32997131,0.00162158,0.99563599,1.16062164
236,0.78077316,0.99646332,8187,0.92887878,0.99708900,9740,-0.14810562,-0.00062567,0.85482597,0.92887878
237,0.77018738,0.99656578,8076,0.92887878,0.99703451,9740,-0.15869141,-0.00046873,0.84953308,0.92887878
238,0.77943802,0.99657636,8173,0.92782974,0.99702323,9729,-0.14839172,-0.00044687,0.85363388,0.92782974
