scene,radius,d,backend,frames,dice,fp_rate,fn_rate,fp_ratio,gv_ratio,infer_ms,pure_ms,peak_mb,predicted_pvv_folder
industrial,r90,16,fvdb,170,0.986382,0.003897,0.020108,0.364640,0.780274,31.461,27.533,391.8,/var/tmp/atighedl_runs/final_all_inference_complete_100ep/fvdb_out/OACNNsInterleaved_final_infer_industrial_r90_dice_20260524-012941_synthetic_may19_r90_fvdb_d16_b3_depth3_100ep-final_industrial_r90_fvdb_d16_100ep_metrics_kF8K4ZrE/inference/0
industrial,r90,16,spconv,170,0.986535,0.004206,0.015268,0.394155,0.811942,17.539,17.125,339.8,/var/tmp/atighedl_runs/final_all_inference_complete_100ep/spconv_out/OACNNsInterleaved_final_infer_industrial_r90_dice_20260524-013905_synthetic_may19_r90_spconv_d16_b3_depth3_100ep-final_industrial_r90_spconv_d16_100ep_metrics_PdhhG1ox/inference/0
industrial,r90,32,fvdb,170,0.952185,0.003473,0.090267,0.326055,0.712373,33.652,24.919,711.0,/var/tmp/atighedl_runs/final_all_inference_complete_100ep/fvdb_out/OACNNsInterleaved_final_infer_industrial_r90_dice_20260524-015220_synthetic_may19_r90_fvdb_d32_b3_depth3_100ep-final_industrial_r90_fvdb_d32_100ep_metrics_K1RVcu66/inference/0
industrial,r90,32,spconv,170,0.976834,0.004752,0.021342,0.445820,0.861389,23.183,22.731,611.9,/var/tmp/atighedl_runs/final_all_inference_complete_100ep/spconv_out/OACNNsInterleaved_final_infer_industrial_r90_dice_20260524-020208_synthetic_may19_r90_spconv_d32_b3_depth3_100ep-final_industrial_r90_spconv_d32_100ep_metrics_LQ8Ddwfq/inference/0
robotlab,r30,8,fvdb,129,0.981327,0.007413,0.038956,0.403326,0.766494,31.289,27.955,353.5,/var/tmp/atighedl_runs/final_all_inference_complete_100ep/fvdb_out/OACNNsInterleaved_final_infer_robotlab_r30_dice_20260523-222158_synthetic_may19_r30_fvdb_d8_b3_depth3_100ep-final_robotlab_r30_fvdb_d8_100ep_metrics_64uExEB4/inference/0
robotlab,r30,8,spconv,129,0.979713,0.006442,0.041313,0.351656,0.713964,17.287,16.865,306.7,/var/tmp/atighedl_runs/final_all_inference_complete_100ep/spconv_out/OACNNsInterleaved_final_infer_robotlab_r30_dice_20260523-223752_synthetic_may19_r30_spconv_d8_b3_depth3_100ep-final_robotlab_r30_spconv_d8_100ep_metrics_3Lgob1a3/inference/0
robotlab,r30,16,fvdb,129,0.980300,0.009430,0.032954,0.512175,0.877676,34.650,27.647,461.4,/var/tmp/atighedl_runs/final_all_inference_complete_100ep/fvdb_out/OACNNsInterleaved_final_infer_robotlab_r30_dice_20260523-225256_synthetic_may19_r30_fvdb_d16_b3_depth3_100ep-final_robotlab_r30_fvdb_d16_100ep_metrics_aRvmuDOK/inference/0
robotlab,r30,16,spconv,129,0.981440,0.009122,0.028040,0.495521,0.862931,17.693,17.277,382.7,/var/tmp/atighedl_runs/final_all_inference_complete_100ep/spconv_out/OACNNsInterleaved_final_infer_robotlab_r30_dice_20260523-230846_synthetic_may19_r30_spconv_d16_b3_depth3_100ep-final_robotlab_r30_spconv_d16_100ep_metrics_RM6LtaBH/inference/0
robotlab,r30,32,fvdb,129,0.956180,0.009114,0.079130,0.496175,0.844419,38.017,25.384,810.0,/var/tmp/atighedl_runs/final_all_inference_complete_100ep/fvdb_out/OACNNsInterleaved_final_infer_robotlab_r30_dice_20260523-232454_synthetic_may19_r30_fvdb_d32_b3_depth3_100ep-final_robotlab_r30_fvdb_d32_100ep_metrics_uIRgD07D/inference/0
robotlab,r30,32,spconv,129,0.966155,0.009142,0.058193,0.497726,0.853882,23.332,22.881,671.9,/var/tmp/atighedl_runs/final_all_inference_complete_100ep/spconv_out/OACNNsInterleaved_final_infer_robotlab_r30_dice_20260523-234242_synthetic_may19_r30_spconv_d32_b3_depth3_100ep-final_robotlab_r30_spconv_d32_100ep_metrics_dh9xVXYg/inference/0
