scene,radius,d,backend,frames,dice,fp_rate,fn_rate,fp_ratio,gv_ratio,infer_ms,pure_ms,peak_mb,predicted_pvv_folder
robotlab,r90,32,fvdb,45,0.936492,0.007779,0.133313,0.423094,0.779173,38.216,25.584,811.6,/var/tmp/atighedl_runs/final_all_inference_complete_100ep/fvdb_out/OACNNsInterleaved_final_infer_robotlab_r90_dice_20260524-015353_synthetic_may19_r90_fvdb_d32_b3_depth3_100ep-final_robotlab_r90_fvdb_d32_100ep_metrics_tyeZtIgD/inference/0
robotlab,r90,32,spconv,45,0.972841,0.009362,0.037236,0.507415,0.903244,23.563,23.111,672.9,/var/tmp/atighedl_runs/final_all_inference_complete_100ep/spconv_out/OACNNsInterleaved_final_infer_robotlab_r90_dice_20260524-020522_synthetic_may19_r90_spconv_d32_b3_depth3_100ep-final_robotlab_r90_spconv_d32_100ep_metrics_Ria5VW60/inference/0
sponza,r30,8,fvdb,281,0.989783,0.019027,0.013198,0.452854,0.584765,35.685,28.511,449.4,/var/tmp/atighedl_runs/final_all_inference_complete_100ep/fvdb_out/OACNNsInterleaved_final_infer_sponza_r30_dice_20260523-222318_synthetic_may19_r30_fvdb_d8_b3_depth3_100ep-final_sponza_r30_fvdb_d8_100ep_metrics_K5yoxUTt/inference/0
sponza,r30,8,spconv,281,0.989864,0.012568,0.015585,0.298380,0.429973,17.660,17.239,366.5,/var/tmp/atighedl_runs/final_all_inference_complete_100ep/spconv_out/OACNNsInterleaved_final_infer_sponza_r30_dice_20260523-224040_synthetic_may19_r30_spconv_d8_b3_depth3_100ep-final_sponza_r30_spconv_d8_100ep_metrics_FsaWIHuo/inference/0
sponza,r30,16,fvdb,281,0.983254,0.020925,0.016374,0.496767,0.628260,40.070,28.224,608.1,/var/tmp/atighedl_runs/final_all_inference_complete_100ep/fvdb_out/OACNNsInterleaved_final_infer_sponza_r30_dice_20260523-225414_synthetic_may19_r30_fvdb_d16_b3_depth3_100ep-final_sponza_r30_fvdb_d16_100ep_metrics_01Ji6V2Y/inference/0
sponza,r30,16,spconv,281,0.977341,0.017236,0.032935,0.409870,0.539155,18.648,18.231,470.4,/var/tmp/atighedl_runs/final_all_inference_complete_100ep/spconv_out/OACNNsInterleaved_final_infer_sponza_r30_dice_20260523-231131_synthetic_may19_r30_spconv_d16_b3_depth3_100ep-final_sponza_r30_spconv_d16_100ep_metrics_fF3DejEs/inference/0
sponza,r30,32,fvdb,281,0.952725,0.017036,0.076327,0.403305,0.526863,44.920,26.681,972.9,/var/tmp/atighedl_runs/final_all_inference_complete_100ep/fvdb_out/OACNNsInterleaved_final_infer_sponza_r30_dice_20260523-232621_synthetic_may19_r30_fvdb_d32_b3_depth3_100ep-final_sponza_r30_fvdb_d32_100ep_metrics_pl4dloSx/inference/0
sponza,r30,32,spconv,281,0.961740,0.016192,0.063947,0.384245,0.509391,23.834,23.383,770.5,/var/tmp/atighedl_runs/final_all_inference_complete_100ep/spconv_out/OACNNsInterleaved_final_infer_sponza_r30_dice_20260523-234545_synthetic_may19_r30_spconv_d32_b3_depth3_100ep-final_sponza_r30_spconv_d32_100ep_metrics_iO7M9LPa/inference/0
sponza,r60,8,fvdb,146,0.980183,0.011466,0.037331,0.273859,0.417729,35.817,28.528,449.6,/var/tmp/atighedl_runs/final_all_inference_complete_100ep/fvdb_out/OACNNsInterleaved_final_infer_sponza_r60_dice_20260523-235921_synthetic_may19_r60_fvdb_d8_b3_depth3_100ep-final_sponza_r60_fvdb_d8_100ep_metrics_h13H1UuU/inference/0
sponza,r60,8,spconv,146,0.987488,0.013011,0.020748,0.309750,0.456110,17.664,17.236,366.6,/var/tmp/atighedl_runs/final_all_inference_complete_100ep/spconv_out/OACNNsInterleaved_final_infer_sponza_r60_dice_20260524-001246_synthetic_may19_r60_spconv_d8_b3_depth3_100ep-final_sponza_r60_spconv_d8_100ep_metrics_t5RWbnTC/inference/0
sponza,r60,16,fvdb,146,0.965154,0.014341,0.062546,0.342519,0.482723,39.985,28.305,602.6,/var/tmp/atighedl_runs/final_all_inference_complete_100ep/fvdb_out/OACNNsInterleaved_final_infer_sponza_r60_dice_20260524-002240_synthetic_may19_r60_fvdb_d16_b3_depth3_100ep-final_sponza_r60_fvdb_d16_100ep_metrics_O83haiCt/inference/0
sponza,r60,16,spconv,146,0.951820,0.011722,0.092995,0.279437,0.414933,18.764,18.348,467.1,/var/tmp/atighedl_runs/final_all_inference_complete_100ep/spconv_out/OACNNsInterleaved_final_infer_sponza_r60_dice_20260524-003603_synthetic_may19_r60_spconv_d16_b3_depth3_100ep-final_sponza_r60_spconv_d16_100ep_metrics_ya7VkcHF/inference/0
sponza,r60,32,fvdb,146,0.932266,0.013519,0.133663,0.319794,0.449179,44.646,26.584,967.2,/var/tmp/atighedl_runs/final_all_inference_complete_100ep/fvdb_out/OACNNsInterleaved_final_infer_sponza_r60_dice_20260524-004632_synthetic_may19_r60_fvdb_d32_b3_depth3_100ep-final_sponza_r60_fvdb_d32_100ep_metrics_SiZSKcIt/inference/0
sponza,r60,32,spconv,146,0.925710,0.013996,0.141935,0.331826,0.460100,23.803,23.350,766.5,/var/tmp/atighedl_runs/final_all_inference_complete_100ep/spconv_out/OACNNsInterleaved_final_infer_sponza_r60_dice_20260524-010108_synthetic_may19_r60_spconv_d32_b3_depth3_100ep-final_sponza_r60_spconv_d32_100ep_metrics_CllCRhEn/inference/0
sponza,r90,8,fvdb,98,0.978086,0.012962,0.040815,0.309864,0.464386,35.655,28.432,449.2,/var/tmp/atighedl_runs/final_all_inference_complete_100ep/fvdb_out/OACNNsInterleaved_final_infer_sponza_r90_dice_20260524-011109_synthetic_may19_r90_fvdb_d8_b3_depth3_100ep-final_sponza_r90_fvdb_d8_100ep_metrics_lez5Uoyd/inference/0
sponza,r90,8,spconv,98,0.975858,0.012890,0.046154,0.306637,0.460252,17.683,17.255,366.4,/var/tmp/atighedl_runs/final_all_inference_complete_100ep/spconv_out/OACNNsInterleaved_final_infer_sponza_r90_dice_20260524-012317_synthetic_may19_r90_spconv_d8_b3_depth3_100ep-final_sponza_r90_spconv_d8_100ep_metrics_0iHnjMBk/inference/0
sponza,r90,16,fvdb,98,0.955948,0.015626,0.080879,0.375037,0.523128,40.117,28.292,599.2,/var/tmp/atighedl_runs/final_all_inference_complete_100ep/fvdb_out/OACNNsInterleaved_final_infer_sponza_r90_dice_20260524-013154_synthetic_may19_r90_fvdb_d16_b3_depth3_100ep-final_sponza_r90_fvdb_d16_100ep_metrics_7e8oihG9/inference/0
sponza,r90,16,spconv,98,0.968529,0.017139,0.056859,0.408283,0.560222,18.948,18.535,465.1,/var/tmp/atighedl_runs/final_all_inference_complete_100ep/spconv_out/OACNNsInterleaved_final_infer_sponza_r90_dice_20260524-014508_synthetic_may19_r90_spconv_d16_b3_depth3_100ep-final_sponza_r90_spconv_d16_100ep_metrics_6BJ7SIgk/inference/0
sponza,r90,32,fvdb,98,0.900324,0.013965,0.188546,0.332924,0.463533,44.545,26.681,966.6,/var/tmp/atighedl_runs/final_all_inference_complete_100ep/fvdb_out/OACNNsInterleaved_final_infer_sponza_r90_dice_20260524-015449_synthetic_may19_r90_fvdb_d32_b3_depth3_100ep-final_sponza_r90_fvdb_d32_100ep_metrics_wKMZ6LpI/inference/0
