frame,per_percent,ssim,error_pixels,total_pixels
200,0.51774979,0.98940339,5429,1048576
201,0.48170090,0.99007784,5051,1048576
202,0.44212341,0.99095046,4636,1048576
203,0.45871735,0.99066192,4810,1048576
204,0.49619675,0.99036552,5203,1048576
205,0.48942566,0.99028836,5132,1048576
206,0.49390793,0.98739555,5179,1048576
207,0.51097870,0.98746361,5358,1048576
208,0.53415298,0.98752563,5601,1048576
209,0.48437119,0.98827420,5079,1048576
210,0.49209595,0.98878548,5160,1048576
211,0.53577423,0.98843703,5618,1048576
212,0.49133301,0.98883035,5152,1048576
213,0.34646988,0.99328307,3633,1048576
214,0.36430359,0.99286781,3820,1048576
215,0.39339066,0.99269348,4125,1048576
216,0.35705566,0.99311846,3744,1048576
217,0.33559799,0.99366241,3519,1048576
218,0.36573410,0.99296228,3835,1048576
219,0.39167404,0.99294869,4107,1048576
220,0.36678314,0.99318740,3846,1048576
221,0.44116974,0.99116558,4626,1048576
222,0.45709610,0.99068480,4793,1048576
223,0.48122406,0.99046421,5046,1048576
224,0.44708252,0.99095405,4688,1048576
225,0.41685104,0.99150399,4371,1048576
226,0.43468475,0.99112063,4558,1048576
227,0.46224594,0.99127816,4847,1048576
228,0.44345856,0.99154253,4650,1048576
229,0.51507950,0.98978109,5401,1048576
230,0.53224564,0.98932775,5581,1048576
231,0.56304932,0.98917296,5904,1048576
232,0.51584244,0.98980786,5409,1048576
233,0.52709579,0.98958357,5527,1048576
234,0.54674149,0.98952249,5733,1048576
235,0.59003830,0.98905504,6187,1048576
236,0.55961609,0.98912188,5868,1048576
237,0.67777634,0.98409000,7107,1048576
238,0.68283081,0.98425675,7160,1048576
239,0.71716309,0.98368716,7520,1048576
240,0.68292618,0.98422765,7161,1048576
241,0.67481995,0.98418786,7076,1048576
242,0.69198608,0.98391753,7256,1048576
243,0.70590973,0.98428032,7402,1048576
244,0.67138672,0.98490072,7040,1048576
245,0.46844482,0.99196573,4912,1048576
246,0.48522949,0.99159862,5088,1048576
247,0.50354004,0.99157903,5280,1048576
248,0.47149658,0.99193140,4944,1048576
249,0.45137405,0.99221031,4733,1048576
250,0.47063828,0.99220334,4935,1048576
251,0.50840378,0.99194411,5331,1048576
252,0.48294067,0.99184924,5064,1048576
253,0.52852631,0.99044735,5542,1048576
254,0.53148270,0.99051949,5573,1048576
255,0.55837631,0.99064877,5855,1048576
256,0.50849915,0.99106114,5332,1048576
257,0.50878525,0.99126477,5335,1048576
258,0.51603317,0.99148468,5411,1048576
259,0.54788589,0.99110474,5745,1048576
260,0.51126480,0.99137586,5361,1048576
261,0.54674149,0.98988627,5733,1048576
262,0.56056976,0.98994507,5878,1048576
263,0.56829453,0.98984648,5959,1048576
264,0.53405762,0.99044742,5600,1048576
